job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
502,Operations Manager,Delhi,Human Resources,75789-109438,Oracle India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,0,1,0,Full-time,Internship,Master's Degree,Retail,Marketing,0
503,Marketing Manager,Ahmedabad,Operations,35316-47246,Infosys,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,1,1,1,Full-time,Not Applicable,Master's Degree,BFSI,Product,0
504,Software Engineer,Pune,Operations,,Swiggy,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",0,1,0,Full-time,Not Applicable,Bachelor's Degree,BFSI,Finance,0
505,Be Your Own Boss – Immediate Hire,Online,Sales,188694-289432,,No experience needed! Earn up to $5000 per week working from home. Just sign up and start earning immediately. Limited spots available!,No experience required. Just have a smartphone and internet.,Unlimited earning potential,1,0,0,Other,Not Applicable,High School or equivalent,,,1
506,Online Data Entry – $80/hr,Work From Home,Sales,72302-125276,Anonymous,No experience needed! Earn up to $5000 per week working from home. Just sign up and start earning immediately. Limited spots available!,,,1,0,0,Part-time,Not Applicable,Unspecified,,,1
507,HR Specialist,Noida,Product,114972-132452,Infosys,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Medical cover, paid leave, team outings",0,0,0,Contract,Entry level,B.Tech,Manufacturing,Design,0
508,Project Manager,Gurgaon,Engineering,105082-140745,TCS,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Annual bonus, remote work option, learning budget",0,1,0,Contract,Not Applicable,MBA,Healthcare,Sales,0
509,Unlimited Income Opportunity,Work From Home,,458628-562615,Anonymous,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",Willing to work independently. No qualifications needed.,,1,0,0,Other,Not Applicable,,Other,,1
510,Financial Analyst,Mumbai,Product,75387-94558,Wipro,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Medical cover, paid leave, team outings",0,1,0,Contract,Not Applicable,Bachelor's Degree,Healthcare,Human Resources,0
511,Graphic Designer,Pune,Design,60339-104401,Paytm,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",0,1,1,Full-time,Director,Bachelor's Degree,Education,Marketing,0
512,Content Writer,Bengaluru,Finance,,IBM India,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Medical cover, paid leave, team outings",0,0,1,Part-time,Mid-Senior level,Master's Degree,Healthcare,Design,0
513,Financial Analyst,Mumbai,Sales,,Accenture,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,,0,1,0,Part-time,Mid-Senior level,B.Tech,Retail,Operations,0
514,DevOps Engineer,Hyderabad,Sales,72054-83894,HCL Technologies,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Part-time,Director,BCA,Finance,Sales,0
515,Urgent – Wire Transfer Specialist,Work From Home,Sales,54720-126934,Anonymous,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",No experience required. Just have a smartphone and internet.,Fast cash,1,0,0,Part-time,Not Applicable,High School or equivalent,,Other,1
516,Make Money Fast – Part Time,Remote,Sales,82633-278377,,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",No experience required. Just have a smartphone and internet.,Weekly payout,1,0,0,Other,Not Applicable,Unspecified,Other,Other,1
517,Graphic Designer,Bengaluru,Product,97272-108629,TCS,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,,0,1,0,Contract,Director,B.Com,Education,Operations,0
518,Product Manager,Chennai,Product,39356-84954,Swiggy,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",1,1,1,Part-time,Not Applicable,MBA,Education,Finance,0
519,Easy Money – No Experience Needed,Work From Home,Sales,157833-299855,Anonymous,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,No experience required. Just have a smartphone and internet.,,1,0,0,Other,Not Applicable,Unspecified,,Other,1
520,Data Analyst,Mumbai,Operations,,Cognizant,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Medical cover, paid leave, team outings",0,1,1,Temporary,Not Applicable,Bachelor's Degree,Healthcare,IT,0
521,Secret Shopper – $500/day,Anywhere,,81542-326834,Anonymous,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",,Weekly payout,1,0,0,Other,Not Applicable,,,,1
522,Sales Executive,Kolkata,Sales,97917-126359,,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",0,0,0,Part-time,Director,Master's Degree,Education,Design,0
523,Easy Money – No Experience Needed,Anywhere,Other,176659-340820,Anonymous,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,Must have PayPal or bank account to receive payments.,,1,0,0,Part-time,Not Applicable,Unspecified,Other,Other,1
524,Content Writer,Gurgaon,Sales,,Oracle India,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,,1,0,1,Full-time,Not Applicable,MBA,Healthcare,Product,0
525,Software Engineer,Gurgaon,Design,61172-81781,Oracle India,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,,1,1,1,Contract,Director,PhD,Information Technology,Human Resources,0
526,Marketing Manager,Chennai,Marketing,57060-92354,,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Annual bonus, remote work option, learning budget",0,0,1,Contract,Mid-Senior level,MBA,BFSI,Marketing,0
527,Product Manager,Gurgaon,Product,113780-148038,Paytm,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,,1,1,1,Contract,Mid-Senior level,MBA,Healthcare,Finance,0
528,Software Engineer,Bengaluru,Finance,118829-140620,Infosys,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Contract,Internship,Bachelor's Degree,Information Technology,Finance,0
529,Data Analyst,Kolkata,Human Resources,87185-126369,,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Medical cover, paid leave, team outings",1,0,1,Temporary,Internship,B.Tech,Finance,IT,0
530,HR Specialist,Chennai,IT,69228-94838,Amazon India,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Annual bonus, remote work option, learning budget",0,1,1,Part-time,Internship,MBA,Finance,Engineering,0
531,Software Engineer,Kolkata,Sales,,HDFC Bank,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Medical cover, paid leave, team outings",0,1,0,Full-time,Internship,B.Tech,Education,Sales,0
532,Bitcoin Trading Expert Needed,Work From Home,Other,348170-599220,Anonymous,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,Willing to work independently. No qualifications needed.,Fast cash,1,0,0,Temporary,Not Applicable,High School or equivalent,Other,Other,1
533,Graphic Designer,Mumbai,Engineering,118039-147699,Oracle India,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",1,1,1,Full-time,Internship,BCA,Healthcare,Marketing,0
534,DevOps Engineer,Mumbai,Engineering,102520-147565,Oracle India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Medical cover, paid leave, team outings",0,1,0,Part-time,Mid-Senior level,B.Tech,Information Technology,Human Resources,0
535,Software Engineer,Mumbai,Engineering,89291-135747,Flipkart,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",0,1,0,Part-time,Internship,MBA,Finance,Marketing,0
536,Be Your Own Boss – Immediate Hire,Online,Sales,66561-224005,Anonymous,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,No experience required. Just have a smartphone and internet.,Unlimited earning potential,1,0,0,Part-time,Not Applicable,,Online,Other,1
537,Secret Shopper – $500/day,Anywhere,,283052-418916,Anonymous,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,,Weekly payout,1,0,0,Other,Not Applicable,Unspecified,Online,Other,1
538,Graphic Designer,Gurgaon,Sales,118754-163544,HDFC Bank,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",1,1,1,Contract,Entry level,B.Com,Manufacturing,Operations,0
539,Financial Analyst,Mumbai,Human Resources,60643-88050,Swiggy,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Annual bonus, remote work option, learning budget",0,1,1,Full-time,Director,MBA,Healthcare,Operations,0
540,Envelope Stuffing Job – High Pay,Work From Home,Sales,125375-372235,Anonymous,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,Must have PayPal or bank account to receive payments.,Fast cash,1,0,0,Other,Not Applicable,High School or equivalent,Online,,1
541,Operations Manager,Chennai,Human Resources,74077-102196,Flipkart,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",0,1,1,Contract,Internship,Bachelor's Degree,Retail,Design,0
542,Product Manager,Pune,Operations,,Cognizant,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Contract,Director,B.Com,BFSI,Product,0
543,Customer Support Agent,Chennai,Operations,,Cognizant,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,1,0,Full-time,Internship,MCA,Information Technology,IT,0
544,UI/UX Designer,Pune,Sales,,Zomato,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,,0,1,0,Temporary,Internship,B.Com,Retail,Marketing,0
545,Product Manager,Hyderabad,Sales,68504-80267,Wipro,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,,1,1,1,Part-time,Mid-Senior level,Bachelor's Degree,Information Technology,IT,0
546,DevOps Engineer,Gurgaon,Design,110636-158093,HDFC Bank,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Full-time,Not Applicable,MCA,Healthcare,Human Resources,0
547,HR Specialist,Pune,Engineering,,TCS,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,1,0,Temporary,Not Applicable,Bachelor's Degree,Manufacturing,Operations,0
548,Online Data Entry – $80/hr,Online,,81856-290265,,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,No experience required. Just have a smartphone and internet.,Unlimited earning potential,1,0,0,Other,Not Applicable,Unspecified,,,1
549,Envelope Stuffing Job – High Pay,Remote,,304120-601778,Anonymous,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,Must have PayPal or bank account to receive payments.,Fast cash,1,0,0,Temporary,Not Applicable,Unspecified,,,1
550,Unlimited Income Opportunity,Anywhere,Sales,147539-310070,Anonymous,No experience needed! Earn up to $5000 per week working from home. Just sign up and start earning immediately. Limited spots available!,No experience required. Just have a smartphone and internet.,Weekly payout,1,0,0,Other,Not Applicable,,Other,,1
551,Project Manager,Pune,Finance,101102-139010,HDFC Bank,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,,1,1,0,Temporary,Mid-Senior level,B.Com,BFSI,Product,0
552,Operations Manager,Delhi,Finance,114886-134650,Infosys,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Medical cover, paid leave, team outings",1,1,1,Temporary,Entry level,PhD,Education,Finance,0
553,Marketing Manager,Chennai,Finance,60928-99381,IBM India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",1,1,0,Contract,Not Applicable,MBA,Finance,Design,0
554,Marketing Manager,Kolkata,Engineering,39402-63803,Microsoft India,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,0,1,1,Contract,Mid-Senior level,Master's Degree,Healthcare,Human Resources,0
555,Product Manager,Ahmedabad,Finance,,Cognizant,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",0,0,1,Temporary,Internship,B.Tech,BFSI,Sales,0
556,Customer Support Agent,Ahmedabad,Sales,43229-77365,,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Medical cover, paid leave, team outings",1,0,0,Part-time,Director,BCA,Finance,Human Resources,0
557,Work From Home – Earn $5000/week,Anywhere,Sales,351857-629017,Anonymous,No experience needed! Earn up to $5000 per week working from home. Just sign up and start earning immediately. Limited spots available!,Must have PayPal or bank account to receive payments.,,1,0,0,Temporary,Not Applicable,High School or equivalent,,Other,1
558,Envelope Stuffing Job – High Pay,Anywhere,Other,322748-489486,Anonymous,No experience needed! Earn up to $5000 per week working from home. Just sign up and start earning immediately. Limited spots available!,Must have PayPal or bank account to receive payments.,Unlimited earning potential,1,0,0,Other,Not Applicable,Unspecified,Online,,1
559,Content Writer,Hyderabad,Engineering,,Amazon India,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",1,1,0,Temporary,Internship,MCA,Manufacturing,Design,0
560,Easy Money – No Experience Needed,Remote,Sales,104346-240662,,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",Must have PayPal or bank account to receive payments.,Weekly payout,1,0,0,Temporary,Not Applicable,High School or equivalent,Other,Other,1
561,Content Writer,Pune,Engineering,,Flipkart,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Medical cover, paid leave, team outings",1,1,1,Temporary,Director,Master's Degree,Healthcare,Product,0
562,Work From Home – Earn $5000/week,Anywhere,Other,55550-222733,,No experience needed! Earn up to $5000 per week working from home. Just sign up and start earning immediately. Limited spots available!,,Fast cash,1,0,0,Temporary,Not Applicable,,,,1
563,Sales Executive,Noida,IT,,Paytm,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Contract,Not Applicable,Master's Degree,Information Technology,Human Resources,0
564,Financial Analyst,Delhi,Product,,HDFC Bank,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",0,1,0,Part-time,Entry level,Master's Degree,Healthcare,Design,0
565,Data Analyst,Gurgaon,Engineering,,Accenture,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Full-time,Not Applicable,Bachelor's Degree,Education,IT,0
566,Software Engineer,Delhi,Sales,78622-127521,Accenture,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",1,1,0,Temporary,Entry level,MBA,Information Technology,Sales,0
567,Unlimited Income Opportunity,Work From Home,Sales,93589-346297,Anonymous,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,No experience required. Just have a smartphone and internet.,Weekly payout,1,0,0,Part-time,Not Applicable,,Other,Other,1
568,Operations Manager,Chennai,Sales,118369-142416,Oracle India,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Annual bonus, remote work option, learning budget",1,1,0,Contract,Not Applicable,MBA,BFSI,Marketing,0
569,Project Manager,Pune,Design,47393-85679,Swiggy,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",1,1,0,Contract,Internship,Master's Degree,BFSI,Design,0
570,Sales Executive,Kolkata,Marketing,,TCS,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Annual bonus, remote work option, learning budget",1,0,0,Temporary,Not Applicable,PhD,Information Technology,Sales,0
571,Project Manager,Gurgaon,Marketing,118626-129597,Zomato,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Annual bonus, remote work option, learning budget",1,1,0,Temporary,Entry level,MBA,BFSI,Operations,0
572,Product Manager,Chennai,Human Resources,34147-71802,TCS,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,,0,1,1,Full-time,Director,PhD,Information Technology,Finance,0
573,HR Specialist,Pune,Marketing,72084-87595,HDFC Bank,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,,1,1,0,Part-time,Director,MBA,Information Technology,Engineering,0
574,Sales Executive,Gurgaon,Operations,65085-102958,Infosys,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",1,1,1,Part-time,Mid-Senior level,MCA,Education,IT,0
575,Product Manager,Kolkata,Human Resources,,Zomato,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",1,1,1,Temporary,Internship,BCA,Finance,Sales,0
576,Content Writer,Hyderabad,Marketing,58016-87319,Flipkart,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Medical cover, paid leave, team outings",0,1,1,Contract,Internship,B.Tech,Retail,IT,0
577,Business Analyst,Hyderabad,Engineering,,Accenture,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Annual bonus, remote work option, learning budget",1,1,1,Part-time,Not Applicable,Master's Degree,Healthcare,Design,0
578,Customer Support Agent,Noida,Product,73559-100569,TCS,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Medical cover, paid leave, team outings",0,1,1,Contract,Internship,Bachelor's Degree,Education,Product,0
579,Easy Money – No Experience Needed,Remote,Sales,56227-346793,Anonymous,No experience needed! Earn up to $5000 per week working from home. Just sign up and start earning immediately. Limited spots available!,Must have PayPal or bank account to receive payments.,Unlimited earning potential,1,0,0,Part-time,Not Applicable,,Online,,1
580,Bitcoin Trading Expert Needed,Online,,181776-267428,Anonymous,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,Willing to work independently. No qualifications needed.,Weekly payout,1,0,0,Part-time,Not Applicable,High School or equivalent,Other,Other,1
581,Customer Support Agent,Delhi,IT,42883-86246,Microsoft India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Annual bonus, remote work option, learning budget",1,1,1,Full-time,Not Applicable,MCA,BFSI,Marketing,0
582,Unlimited Income Opportunity,Work From Home,Other,367048-661767,Anonymous,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,Must have PayPal or bank account to receive payments.,Weekly payout,1,0,0,Temporary,Not Applicable,High School or equivalent,Online,,1
