job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,description_length,requirements_length,has_company,missing_fields,max_salary,salary_anomaly,has_salary,scam_keyword_count,employment_risk,is_wfh,trust_score,risk_level,Label
209,Graphic Designer,Delhi,Engineering,61492-98956,HDFC Bank,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Medical cover, paid leave, team outings",1,1,0,Contract,Mid-Senior level,PhD,Information Technology,Marketing,0,221,140,1,0,98956,0,1,0,0,1,100,Low Risk,Real
210,Customer Support Agent,Kolkata,Marketing,,Amazon India,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Contract,Mid-Senior level,PhD,Education,Operations,0,194,140,1,1,0,0,0,0,0,1,95,Low Risk,Real
211,Secret Shopper – $500/day,Online,Other,138293-206498,,No experience needed! Earn up to $5000 per week working from home. Just sign up and start earning immediately. Limited spots available!,No experience required. Just have a smartphone and internet.,Weekly payout,1,0,0,Part-time,Not Applicable,High School or equivalent,,Other,1,135,60,0,2,206498,1,1,3,1,1,0,High Risk,Fake
212,Marketing Manager,Kolkata,IT,,Wipro,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,,1,1,0,Temporary,Director,MBA,Manufacturing,Engineering,0,275,140,1,2,0,0,0,0,1,1,85,Low Risk,Real
213,Customer Support Agent,Kolkata,Sales,,Accenture,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Medical cover, paid leave, team outings",0,1,0,Contract,Director,PhD,Manufacturing,Marketing,0,221,140,1,1,0,0,0,0,0,0,95,Low Risk,Real
214,HR Specialist,Ahmedabad,Design,78418-100645,Cognizant,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",0,1,0,Full-time,Entry level,MCA,BFSI,Operations,0,221,140,1,0,100645,0,1,0,0,0,100,Low Risk,Real
215,Software Engineer,Chennai,Product,87477-128987,Swiggy,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,,1,1,0,Full-time,Internship,B.Com,BFSI,Finance,0,275,140,1,1,128987,0,1,0,0,1,95,Low Risk,Real
216,Bitcoin Trading Expert Needed,Online,,266198-419206,Anonymous,No experience needed! Earn up to $5000 per week working from home. Just sign up and start earning immediately. Limited spots available!,Must have PayPal or bank account to receive payments.,,1,0,0,Temporary,Not Applicable,Unspecified,Online,,1,135,53,1,2,419206,1,1,4,1,1,23,High Risk,Fake
217,HR Specialist,Noida,Operations,,Zomato,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,,0,0,1,Part-time,Mid-Senior level,B.Com,Manufacturing,IT,0,275,140,1,2,0,0,0,0,1,0,75,Low Risk,Real
218,Content Writer,Chennai,Marketing,,Paytm,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",1,1,0,Temporary,Internship,BCA,Retail,Design,0,164,134,1,1,0,0,0,0,1,1,90,Low Risk,Real
219,Business Analyst,Gurgaon,Design,90314-126862,Cognizant,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,1,0,0,Full-time,Internship,Master's Degree,BFSI,Engineering,0,194,134,1,1,126862,0,1,0,0,1,85,Low Risk,Real
220,Sales Executive,Ahmedabad,Engineering,101613-113269,HDFC Bank,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,,0,1,0,Contract,Not Applicable,Bachelor's Degree,Healthcare,Operations,0,221,130,1,1,113269,0,1,0,0,0,95,Low Risk,Real
221,Content Writer,Gurgaon,Design,116084-145509,Wipro,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Medical cover, paid leave, team outings",1,1,0,Part-time,Entry level,Master's Degree,Healthcare,Engineering,0,194,130,1,0,145509,0,1,0,1,1,95,Low Risk,Real
222,Sales Executive,Delhi,Design,61711-96120,Amazon India,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Annual bonus, remote work option, learning budget",1,1,0,Contract,Not Applicable,MCA,Information Technology,Marketing,0,194,140,1,0,96120,0,1,0,0,1,100,Low Risk,Real
223,Customer Support Agent,Gurgaon,Human Resources,93941-132348,Swiggy,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Contract,Not Applicable,PhD,Finance,Engineering,0,194,134,1,0,132348,0,1,0,0,1,100,Low Risk,Real
224,DevOps Engineer,Kolkata,IT,100559-120628,Oracle India,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",0,1,0,Contract,Entry level,Bachelor's Degree,Education,Human Resources,0,164,140,1,0,120628,0,1,0,0,0,100,Low Risk,Real
225,Easy Money – No Experience Needed,Work From Home,,168342-288972,,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,Must have PayPal or bank account to receive payments.,Fast cash,1,0,0,Other,Not Applicable,,,Other,1,141,53,0,4,288972,1,1,4,2,1,0,High Risk,Fake
226,Envelope Stuffing Job – High Pay,Online,,322053-484124,Anonymous,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,,Weekly payout,1,0,0,Other,Not Applicable,,,,1,153,0,1,4,484124,1,1,4,2,1,8,High Risk,Fake
227,DevOps Engineer,Noida,Finance,89993-108472,Paytm,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,,0,1,1,Full-time,Director,MCA,Information Technology,Finance,0,221,140,1,1,108472,0,1,0,0,0,95,Low Risk,Real
228,Data Analyst,Bengaluru,Marketing,,Oracle India,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,,0,1,0,Contract,Entry level,BCA,Education,Marketing,0,164,140,1,2,0,0,0,0,0,0,90,Low Risk,Real
229,Easy Money – No Experience Needed,Online,Sales,132264-360496,,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,No experience required. Just have a smartphone and internet.,,1,0,0,Temporary,Not Applicable,,Online,Other,1,153,60,0,3,360496,1,1,6,1,1,0,High Risk,Fake
230,Customer Support Agent,Ahmedabad,Operations,79113-96516,Cognizant,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,,1,1,0,Full-time,Not Applicable,MBA,Healthcare,IT,0,221,140,1,1,96516,0,1,0,0,1,95,Low Risk,Real
231,Online Data Entry – $80/hr,Online,Sales,165938-255680,,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,,Unlimited earning potential,1,0,0,Other,Not Applicable,High School or equivalent,Online,,1,141,0,0,2,255680,1,1,2,2,1,0,High Risk,Fake
232,Software Engineer,Noida,Product,95382-105666,Swiggy,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Annual bonus, remote work option, learning budget",0,1,0,Full-time,Mid-Senior level,BCA,Manufacturing,Product,0,164,134,1,0,105666,0,1,0,0,0,100,Low Risk,Real
233,Be Your Own Boss – Immediate Hire,Anywhere,,52824-224031,Anonymous,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",Must have PayPal or bank account to receive payments.,Unlimited earning potential,1,0,0,Temporary,Not Applicable,,Online,Other,1,156,53,1,2,224031,1,1,2,1,1,39,Medium Risk,Fake
234,Software Engineer,Kolkata,Operations,31850-80460,Wipro,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,1,1,Full-time,Mid-Senior level,PhD,Information Technology,Human Resources,0,164,130,1,0,80460,0,1,0,0,0,100,Low Risk,Real
235,Easy Money – No Experience Needed,Online,Other,51029-298552,Anonymous,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,,,1,0,0,Temporary,Not Applicable,Unspecified,Online,,1,153,0,1,2,298552,1,1,6,1,1,7,High Risk,Fake
236,Operations Manager,Hyderabad,Engineering,,Amazon India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",0,1,1,Part-time,Entry level,B.Tech,Education,Operations,0,221,140,1,1,0,0,0,0,1,0,90,Low Risk,Real
237,UI/UX Designer,Gurgaon,Product,100630-135926,Amazon India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",1,1,1,Temporary,Director,B.Tech,BFSI,Design,0,221,134,1,0,135926,0,1,0,1,1,95,Low Risk,Real
238,UI/UX Designer,Delhi,Finance,55056-81632,Flipkart,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,1,0,Full-time,Mid-Senior level,B.Tech,Finance,Human Resources,0,221,130,1,0,81632,0,1,0,0,0,100,Low Risk,Real
239,Operations Manager,Bengaluru,Finance,60589-91447,,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",1,0,0,Full-time,Director,B.Com,BFSI,Human Resources,0,164,130,0,1,91447,0,1,0,0,1,45,Medium Risk,Real
240,Operations Manager,Noida,Finance,37339-61685,Swiggy,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Medical cover, paid leave, team outings",1,1,0,Full-time,Entry level,MCA,Finance,Human Resources,0,164,140,1,0,61685,0,1,0,0,1,100,Low Risk,Real
241,Operations Manager,Gurgaon,Product,43626-85598,Amazon India,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,1,0,Part-time,Entry level,MCA,BFSI,Product,0,164,130,1,0,85598,0,1,0,1,0,95,Low Risk,Real
242,Easy Money – No Experience Needed,Remote,Other,133450-244727,,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,No experience required. Just have a smartphone and internet.,Weekly payout,1,0,0,Part-time,Not Applicable,Unspecified,Online,Other,1,153,60,0,1,244727,1,1,6,1,1,0,High Risk,Fake
243,Content Writer,Gurgaon,IT,80067-106932,HCL Technologies,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Medical cover, paid leave, team outings",1,1,1,Part-time,Mid-Senior level,MBA,Retail,Product,0,164,130,1,0,106932,0,1,0,1,1,95,Low Risk,Real
244,Sales Executive,Hyderabad,Marketing,,Zomato,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",0,1,0,Temporary,Director,Master's Degree,Retail,Sales,0,221,134,1,1,0,0,0,0,1,0,90,Low Risk,Real
245,HR Specialist,Ahmedabad,Sales,84598-121893,HCL Technologies,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Medical cover, paid leave, team outings",0,1,1,Contract,Mid-Senior level,MCA,Retail,Sales,0,221,140,1,0,121893,0,1,0,0,0,100,Low Risk,Real
246,HR Specialist,Pune,Human Resources,80275-105710,,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Medical cover, paid leave, team outings",0,0,0,Full-time,Mid-Senior level,B.Com,Finance,Product,0,275,140,0,1,105710,0,1,0,0,0,55,Medium Risk,Real
247,Software Engineer,Chennai,Marketing,117282-144707,Accenture,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Annual bonus, remote work option, learning budget",0,1,1,Temporary,Internship,Master's Degree,Finance,Product,0,221,140,1,0,144707,0,1,0,1,0,95,Low Risk,Real
248,Urgent – Wire Transfer Specialist,Work From Home,Sales,78230-305465,,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,No experience required. Just have a smartphone and internet.,Weekly payout,1,0,0,Part-time,Not Applicable,Unspecified,Other,,1,153,60,0,1,305465,1,1,6,1,1,0,High Risk,Fake
249,Content Writer,Chennai,Design,72868-99929,Infosys,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,0,1,0,Temporary,Not Applicable,MBA,Finance,Human Resources,0,164,134,1,1,99929,0,1,0,1,0,90,Low Risk,Real
250,Product Manager,Gurgaon,Finance,111153-146869,HDFC Bank,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,,1,0,1,Full-time,Director,MBA,BFSI,Engineering,0,164,130,1,1,146869,0,1,0,0,1,85,Low Risk,Real
251,DevOps Engineer,Pune,Finance,,IBM India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Medical cover, paid leave, team outings",0,1,1,Contract,Director,B.Tech,Information Technology,IT,0,221,130,1,1,0,0,0,0,0,0,95,Low Risk,Real
252,Graphic Designer,Noida,Human Resources,,Amazon India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Annual bonus, remote work option, learning budget",0,0,1,Full-time,Internship,Bachelor's Degree,Retail,Human Resources,0,221,130,1,1,0,0,0,0,0,0,85,Low Risk,Real
253,DevOps Engineer,Ahmedabad,Operations,,Wipro,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,,1,1,0,Part-time,Mid-Senior level,MCA,Retail,Engineering,0,221,140,1,2,0,0,0,0,1,1,85,Low Risk,Real
254,Financial Analyst,Hyderabad,Finance,85270-97101,HCL Technologies,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Annual bonus, remote work option, learning budget",0,0,0,Contract,Entry level,MBA,Manufacturing,Operations,0,275,134,1,0,97101,0,1,0,0,0,90,Low Risk,Real
255,HR Specialist,Delhi,Engineering,70116-81482,Swiggy,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,0,1,1,Part-time,Director,MCA,Information Technology,Product,0,164,134,1,1,81482,0,1,0,1,0,90,Low Risk,Real
256,Customer Support Agent,Hyderabad,Human Resources,34741-73640,Amazon India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Annual bonus, remote work option, learning budget",1,1,1,Temporary,Internship,PhD,Finance,Marketing,0,221,134,1,0,73640,0,1,0,1,1,95,Low Risk,Real
257,Graphic Designer,Kolkata,Operations,116334-143668,Infosys,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,"Health insurance, PF, gratuity, flexible hours",0,1,1,Contract,Entry level,B.Tech,Manufacturing,Product,0,164,130,1,0,143668,0,1,0,0,0,100,Low Risk,Real
258,Software Engineer,Noida,Finance,95542-126004,Amazon India,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",0,1,1,Part-time,Entry level,Bachelor's Degree,Finance,Operations,0,164,140,1,0,126004,0,1,0,1,0,95,Low Risk,Real
259,Urgent – Wire Transfer Specialist,Anywhere,Other,85702-324981,,No experience needed! Earn up to $5000 per week working from home. Just sign up and start earning immediately. Limited spots available!,Willing to work independently. No qualifications needed.,Fast cash,1,0,0,Part-time,Not Applicable,High School or equivalent,Other,Other,1,135,56,0,1,324981,1,1,5,1,1,0,High Risk,Fake
260,Project Manager,Bengaluru,Product,105156-126625,IBM India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,0,1,1,Full-time,Entry level,BCA,BFSI,Engineering,0,221,134,1,1,126625,0,1,0,0,0,95,Low Risk,Real
261,Marketing Manager,Pune,Sales,87595-131940,HDFC Bank,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,,1,1,0,Contract,Not Applicable,BCA,Information Technology,IT,0,194,140,1,1,131940,0,1,0,0,1,95,Low Risk,Real
262,Online Data Entry – $80/hr,Anywhere,Other,429090-619846,Anonymous,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",Willing to work independently. No qualifications needed.,Fast cash,1,0,0,Part-time,Not Applicable,Unspecified,Other,,1,156,56,1,0,619846,1,1,1,1,1,57,Medium Risk,Fake
263,Product Manager,Delhi,Design,56130-67465,Flipkart,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Annual bonus, remote work option, learning budget",1,1,1,Part-time,Director,Master's Degree,BFSI,Marketing,0,275,134,1,0,67465,0,1,0,1,1,95,Low Risk,Real
264,Make Money Fast – Part Time,Remote,Other,92819-300466,Anonymous,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",Must have PayPal or bank account to receive payments.,,1,0,0,Temporary,Not Applicable,Unspecified,,,1,156,53,1,2,300466,1,1,2,1,1,39,Medium Risk,Fake
265,UI/UX Designer,Kolkata,Design,66562-98151,Swiggy,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Health insurance, PF, gratuity, flexible hours",0,1,1,Temporary,Entry level,Master's Degree,Information Technology,Engineering,0,275,140,1,0,98151,0,1,0,1,0,95,Low Risk,Real
266,Secret Shopper – $500/day,Work From Home,Other,169795-224094,,No experience needed! Earn up to $5000 per week working from home. Just sign up and start earning immediately. Limited spots available!,,Unlimited earning potential,1,0,0,Part-time,Not Applicable,Unspecified,Online,Other,1,135,0,0,2,224094,1,1,3,1,1,0,High Risk,Fake
267,Operations Manager,Ahmedabad,Design,,IBM India,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Minimum 3 years experience in the domain. Knowledge of industry tools. Ability to work in a team environment. Strong problem-solving skills.,"Annual bonus, remote work option, learning budget",1,1,0,Part-time,Not Applicable,MCA,BFSI,IT,0,221,140,1,1,0,0,0,0,1,1,90,Low Risk,Real
268,Data Analyst,Noida,Operations,,Zomato,Join our dynamic team and contribute to meaningful projects. You will be responsible for analyzing business requirements and implementing solutions. We offer a collaborative work environment with opportunities for growth.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Medical cover, paid leave, team outings",1,1,0,Contract,Mid-Senior level,MBA,Information Technology,Operations,0,221,134,1,1,0,0,0,0,0,1,95,Low Risk,Real
269,Operations Manager,Delhi,Finance,,Oracle India,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Annual bonus, remote work option, learning budget",1,1,0,Temporary,Entry level,MBA,BFSI,Marketing,0,194,134,1,1,0,0,0,0,1,1,90,Low Risk,Real
270,Software Engineer,Bengaluru,Marketing,104172-137590,Swiggy,We are hiring an experienced professional to help us scale our operations. The ideal candidate will have a proven track record and excellent problem-solving skills.,Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,"Health insurance, PF, gratuity, flexible hours",0,1,1,Part-time,Internship,BCA,BFSI,Human Resources,0,164,134,1,0,137590,0,1,0,1,0,95,Low Risk,Real
271,Customer Support Agent,Gurgaon,Engineering,94022-104483,Swiggy,We are looking for a talented professional to join our growing team. You will work closely with cross-functional teams to deliver high-quality results. Strong communication skills and attention to detail are required. Experience with modern tools and frameworks is preferred.,Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,,0,1,0,Part-time,Mid-Senior level,MBA,Finance,Human Resources,0,275,130,1,1,104483,0,1,0,1,0,90,Low Risk,Real
272,Bitcoin Trading Expert Needed,Anywhere,Other,67520-287483,Anonymous,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",,,1,0,0,Temporary,Not Applicable,Unspecified,Online,,1,156,0,1,2,287483,1,1,2,1,1,39,Medium Risk,Fake
273,Project Manager,Chennai,Design,30951-65570,Oracle India,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Relevant degree or equivalent experience. Excellent written and verbal communication. Ability to manage multiple tasks simultaneously.,,1,1,1,Contract,Internship,BCA,Retail,Product,0,194,134,1,1,65570,0,1,0,0,1,95,Low Risk,Real
274,Online Data Entry – $80/hr,Work From Home,Other,110568-254261,,"Make real money from home. All you need is a phone and internet connection. Earn $500 daily. No boss, no office, no stress. Join thousands of happy workers!",Willing to work independently. No qualifications needed.,,1,0,0,Temporary,Not Applicable,High School or equivalent,,Other,1,156,56,0,3,254261,1,1,1,1,1,2,High Risk,Fake
275,Make Money Fast – Part Time,Online,,174775-445649,,Urgent hiring! Wire transfer agents needed worldwide. Receive payments and transfer funds. High commission paid instantly. Confidential work.,Willing to work independently. No qualifications needed.,Weekly payout,1,0,0,Temporary,Not Applicable,,,,1,141,56,0,4,445649,1,1,3,1,1,0,High Risk,Fake
276,Envelope Stuffing Job – High Pay,Work From Home,,144558-203247,Anonymous,Guaranteed income! Work only 2 hours per day and earn full-time salary. We pay weekly via PayPal or wire transfer. Apply now before positions are filled!,,,1,0,0,Part-time,Not Applicable,,Other,Other,1,153,0,1,4,203247,1,1,4,1,1,13,High Risk,Fake
277,Content Writer,Gurgaon,Design,31444-79490,Infosys,"As part of our team, you will design, develop, and maintain systems that power our platform. You should have a strong foundation in your field and be comfortable working in an agile environment.",Bachelor's degree in relevant field. 2+ years of experience. Proficiency in MS Office. Strong analytical and communication skills.,,1,1,0,Contract,Director,MBA,Healthcare,IT,0,194,130,1,1,79490,0,1,0,0,1,95,Low Risk,Real
